user_id,item_id,rating,timestamp,genre_ids
196,242,3,881250949,[5]
186,302,3,891717742,"[6, 10, 13, 16]"
22,377,1,878887116,"[4, 5]"
244,51,2,880606923,"[8, 14, 17, 18]"
166,346,1,886397596,"[6, 8]"
298,474,4,884182806,"[15, 17]"
115,265,2,881171488,"[1, 16]"
253,465,5,891628467,"[2, 4, 14]"
305,451,3,886324817,"[5, 12, 14]"
6,86,3,883603013,[8]
62,257,2,879372434,"[1, 2, 5, 15]"
286,1014,5,879781125,[5]
200,222,5,876042340,"[1, 2, 15]"
210,40,3,891035994,[5]
224,29,3,888104457,"[1, 2, 5, 6]"
303,785,3,879485318,"[5, 14]"
122,387,5,879270459,[8]
194,274,2,879539794,"[5, 14]"
291,1042,4,874834944,"[13, 16]"
234,1184,2,892079237,[7]
119,392,4,886176814,[8]
167,486,4,892738452,"[5, 14]"
299,144,4,877881320,"[1, 16]"
291,118,2,874833878,"[1, 2, 16]"
308,1,4,887736532,"[3, 4, 5]"
95,546,2,879196566,"[1, 16]"
38,95,5,892430094,"[3, 4, 5, 12]"
102,768,2,883748450,"[2, 4]"
63,277,4,875747401,[8]
160,234,5,876861185,"[1, 11]"
50,246,3,877052329,"[8, 14]"
301,98,4,882075827,"[8, 16]"
225,193,4,879539727,[8]
290,88,4,880731963,"[5, 14]"
97,194,3,884238860,"[5, 6]"
157,274,4,886890835,"[5, 14]"
181,1081,1,878962623,[6]
278,603,5,891295330,"[13, 16]"
276,796,1,874791932,"[5, 14]"
7,32,4,891350932,[7]
10,16,4,877888877,"[5, 14]"
284,304,4,885329322,"[2, 4]"
201,979,2,884114233,"[8, 16]"
276,564,3,874791805,"[5, 11]"
287,327,5,875333916,"[6, 8, 13]"
246,201,5,884921594,"[1, 2, 5, 11]"
242,1137,5,879741196,"[8, 14]"
249,241,5,879641194,"[1, 14, 17]"
99,4,5,886519097,"[1, 5, 8]"
178,332,3,882823437,"[6, 8, 16]"
251,100,4,886271884,"[6, 8, 16]"
81,432,2,876535131,"[3, 4, 12]"
260,322,4,890618898,"[13, 16]"
25,181,5,885853415,"[1, 2, 14, 15, 17]"
59,196,5,888205088,[8]
72,679,2,880037164,"[1, 2]"
87,384,4,879877127,[5]
290,143,5,880474293,[12]
42,423,5,881107687,"[4, 8, 9, 15]"
292,515,4,881103977,"[1, 8, 17]"
115,20,3,881171009,"[8, 14]"
20,288,1,879667584,"[11, 16]"
201,219,4,884112673,[11]
13,526,3,882141053,"[1, 2, 8]"
246,919,4,884920949,"[2, 15]"
138,26,5,879024232,[5]
167,232,1,892738341,"[1, 5, 18]"
60,427,5,883326620,[8]
57,304,5,883698581,"[2, 4]"
223,274,4,891550094,"[5, 14]"
189,512,4,893277702,"[5, 8, 14]"
243,15,3,879987440,[8]
92,1049,1,890251826,[5]
246,416,3,884923047,"[4, 8]"
194,165,4,879546723,[8]
241,690,2,887249482,"[8, 17]"
178,248,4,882823954,"[5, 6]"
254,1444,3,886475558,"[4, 5, 13]"
293,5,3,888906576,"[6, 8, 16]"
127,229,5,884364867,"[1, 2, 15]"
225,237,5,879539643,"[8, 14]"
299,229,3,878192429,"[1, 2, 15]"
225,480,5,879540748,"[5, 16]"
276,54,3,874791025,"[1, 8, 16]"
291,144,5,874835091,"[1, 16]"
222,366,4,878183381,[8]
267,518,5,878971773,[8]
42,403,3,881108684,"[1, 2, 6, 8]"
11,111,4,891903862,"[5, 14]"
95,625,4,888954412,"[3, 4]"
8,338,4,879361873,[5]
162,25,4,877635573,[5]
87,1016,4,879876194,"[1, 2, 16]"
279,154,5,875296291,[5]
145,275,2,885557505,"[8, 14]"
119,1153,5,874781198,"[8, 12]"
62,498,4,879373848,"[1, 2, 14, 17]"
62,382,3,879375537,"[5, 8]"
28,209,4,881961214,"[5, 8, 12]"
135,23,4,879857765,"[8, 16]"
32,294,3,883709863,[5]
90,382,5,891383835,"[5, 8]"
286,208,4,877531942,"[5, 11]"
293,685,3,888905170,"[1, 16]"
216,144,4,880234639,"[1, 16]"
166,328,5,886397722,"[1, 13, 14, 16]"
250,496,4,878090499,[8]
271,132,5,885848672,"[2, 4, 8, 12]"
160,174,5,876860807,"[1, 2]"
265,118,4,875320714,"[1, 2, 16]"
198,498,3,884207492,"[1, 2, 14, 17]"
42,96,5,881107178,"[1, 15, 16]"
168,151,5,884288058,"[2, 4, 5]"
110,307,4,886987260,"[6, 11, 13, 16]"
58,144,4,884304936,"[1, 16]"
90,648,4,891384754,"[5, 14]"
271,346,4,885844430,"[6, 8]"
62,21,3,879373460,"[1, 2, 5, 12, 16]"
279,832,3,881375854,"[4, 8, 9]"
237,514,4,879376641,"[5, 14]"
94,789,4,891720887,"[5, 8]"
128,485,3,879966895,"[12, 14]"
298,317,4,884182806,[8]
44,195,5,878347874,"[1, 15, 16]"
264,200,5,886122352,[11]
194,385,2,879524643,"[1, 2, 5, 14]"
72,195,5,880037702,"[1, 15, 16]"
222,750,5,883815120,[8]
250,264,3,878089182,"[15, 16]"
41,265,3,890687042,"[1, 16]"
224,245,3,888082216,"[1, 8, 16, 17]"
82,135,3,878769629,"[8, 13, 15, 16]"
262,1147,4,879791710,[8]
293,471,3,888904884,"[8, 17]"
216,658,3,880245029,[8]
250,140,3,878092059,"[2, 4]"
59,23,5,888205300,"[8, 16]"
286,379,5,877533771,[11]
244,815,4,880605185,"[8, 14]"
7,479,4,891352010,"[13, 16]"
174,368,1,886434402,[5]
87,274,4,879876734,"[5, 14]"
194,1211,2,879551380,"[8, 14]"
82,1134,2,884714402,[8]
13,836,2,882139746,"[5, 14]"
13,272,4,884538403,[8]
244,756,2,880605157,[5]
305,427,5,886323090,[8]
95,787,2,888954930,"[5, 8]"
43,14,2,883955745,"[8, 14]"
299,955,4,889502823,"[8, 14]"
57,419,3,883698454,"[4, 5, 12]"
84,405,3,883452363,"[1, 2, 13]"
269,504,4,891449922,"[6, 8]"
299,111,3,877878184,"[5, 14]"
194,466,4,879525876,[16]
160,135,4,876860807,"[8, 13, 15, 16]"
99,268,3,885678247,"[8, 14]"
10,486,4,877886846,"[5, 14]"
259,117,4,874724988,"[1, 2, 16]"
85,427,3,879456350,[8]
303,919,4,879467295,"[2, 15]"
213,273,5,878870987,"[1, 6, 16]"
121,514,3,891387947,"[5, 14]"
90,98,5,891383204,"[8, 16]"
49,559,2,888067405,"[8, 11]"
42,794,3,881108425,"[8, 14]"
155,323,2,879371261,"[1, 16]"
68,117,4,876973939,"[1, 2, 16]"
172,177,4,875537965,"[1, 18]"
