user_id,item_id,rank,pred_rating
1,302,1,5.3057684898376465
1,1084,2,4.147456169128418
1,963,3,4.90543270111084
1,601,4,4.265718936920166
1,652,5,4.680458068847656
1,708,6,4.000768184661865
1,380,7,3.9345593452453613
1,435,8,4.5816826820373535
1,615,9,4.342461585998535
1,1450,10,4.255571365356445
2,588,1,4.490489959716797
2,488,2,4.451228618621826
2,1629,3,3.78957462310791
2,837,4,4.173160552978516
2,1155,5,3.782365083694458
2,229,6,3.862722635269165
2,484,7,4.1464385986328125
2,466,8,4.288254261016846
2,1154,9,3.7678263187408447
2,492,10,3.9667272567749023
3,136,1,3.886078357696533
3,520,2,3.2318027019500732
3,48,3,3.7586476802825928
3,1456,4,3.1610918045043945
3,1,5,3.4430925846099854
3,86,6,3.4284024238586426
3,178,7,3.573732852935791
3,177,8,3.559927463531494
3,603,9,3.0579416751861572
3,153,10,3.3739075660705566
4,519,1,5.39070463180542
4,474,2,4.8750433921813965
4,1137,3,5.053653717041016
4,83,4,4.932234287261963
4,99,5,4.649820327758789
4,657,6,5.214172840118408
4,607,7,4.601036071777344
4,431,8,4.59860897064209
4,493,9,5.116515159606934
4,132,10,5.094683647155762
5,511,1,4.721686840057373
5,1386,2,3.815293788909912
5,621,3,3.8991501331329346
5,474,4,4.55888557434082
5,1401,5,3.9764084815979004
5,205,6,4.409233570098877
5,502,7,4.3680572509765625
5,357,8,4.356835842132568
5,701,9,3.722240686416626
5,1073,10,4.275597095489502
6,1268,1,4.067955493927002
6,647,2,4.5145063400268555
6,916,3,3.5666446685791016
6,150,4,4.283130645751953
6,1367,5,3.8754496574401855
6,835,6,4.239404201507568
6,1067,7,3.6899852752685547
6,694,8,4.1665520668029785
6,501,9,3.6030921936035156
6,854,10,3.8439881801605225
7,347,1,5.228699684143066
7,1293,2,4.206363201141357
7,169,3,5.087761402130127
7,445,4,4.880406856536865
7,500,5,4.5825114250183105
7,185,6,4.871572971343994
7,1400,7,4.3941731452941895
7,119,8,4.503652572631836
7,1657,9,4.130032062530518
7,114,10,4.387986183166504
8,644,1,4.607833385467529
8,132,2,4.592113971710205
8,64,3,4.898769855499268
8,419,4,4.073187351226807
8,201,5,4.066198825836182
8,1081,6,4.134476661682129
8,265,7,4.713494777679443
8,23,8,4.673712253570557
8,137,9,4.610916614532471
8,919,10,4.435129165649414
9,1523,1,3.8667728900909424
9,513,2,4.506333351135254
9,430,3,4.125602722167969
9,603,4,4.484246253967285
9,1203,5,4.203205585479736
9,1019,6,4.378060817718506
9,19,7,4.032491683959961
9,1073,8,4.316406726837158
9,922,9,4.017287254333496
9,1021,10,4.288166046142578
10,1064,1,4.365129470825195
10,132,2,4.919808387756348
10,1137,3,4.327370643615723
