user_id,item_id,rank,pred_rating
1,511,1,5.398755073547363
1,302,2,5.3057684898376465
1,357,3,5.22554874420166
1,1269,4,4.519245624542236
1,919,5,4.505507946014404
1,657,6,4.97519588470459
1,647,7,4.932039260864258
1,408,8,4.912804126739502
1,455,9,4.482508659362793
1,171,10,4.756487846374512
2,604,1,4.7391228675842285
2,603,2,4.524489402770996
2,902,3,4.235976219177246
2,132,4,4.2192864418029785
2,98,5,4.475303649902344
2,114,6,4.088510036468506
2,488,7,4.451228618621826
2,515,8,4.408217430114746
2,530,9,4.354286193847656
2,686,10,4.257365703582764
3,487,1,3.3472366333007812
3,483,2,3.814101457595825
3,499,3,3.4628002643585205
3,124,4,3.4589412212371826
3,114,5,3.7843263149261475
3,173,6,3.46571683883667
3,922,7,3.4664151668548584
3,657,8,3.795142889022827
3,48,9,3.7586476802825928
3,285,10,3.7255074977874756
4,191,1,5.5109076499938965
4,519,2,5.39070463180542
4,478,3,5.080615043640137
4,611,4,4.955544948577881
4,223,5,5.376593589782715
4,435,6,5.29103946685791
4,513,7,5.272797107696533
4,482,8,5.250922203063965
4,178,9,5.24725341796875
4,320,10,5.030762672424316
5,175,1,5.049330711364746
5,318,2,4.237140655517578
5,615,3,4.232138633728027
5,179,4,4.919163227081299
5,194,5,4.698831558227539
5,483,6,4.670859336853027
5,566,7,4.0777506828308105
5,604,8,4.512553691864014
5,750,9,4.419558525085449
5,1073,10,4.275597095489502
6,154,1,4.605729103088379
6,654,2,4.600251197814941
6,1500,3,4.07598876953125
6,443,4,4.496711730957031
6,93,5,4.452526569366455
6,661,6,4.438422203063965
6,478,7,4.405495643615723
6,603,8,4.384155750274658
6,61,9,4.293710708618164
6,919,10,4.197964191436768
7,718,1,4.690331935882568
7,347,2,5.228699684143066
7,735,3,5.189477920532227
7,317,4,5.147485256195068
7,357,5,5.221813678741455
7,169,6,5.087761402130127
7,1451,7,4.473873138427734
7,1367,8,4.969987869262695
7,185,9,4.871572971343994
7,302,10,4.81264591217041
8,644,1,4.607833385467529
8,132,2,4.592113971710205
8,124,3,5.017632007598877
8,357,4,5.214134216308594
8,169,5,5.396231651306152
8,507,6,4.966232776641846
8,408,7,4.992733478546143
8,223,8,4.922719955444336
8,474,9,4.888520240783691
8,265,10,4.713494777679443
9,272,1,5.059638023376465
9,318,2,4.652157306671143
9,64,3,4.615423202514648
9,203,4,4.245236873626709
9,916,5,4.234384059906006
9,1449,6,4.4989013671875
9,315,7,4.496100425720215
9,511,8,4.386958599090576
9,12,9,4.379092693328857
9,320,10,4.278543472290039
10,313,1,5.072029113769531
10,189,2,4.447303771972656
10,1101,3,4.963320255279541
10,132,4,4.919808387756348
10,1193,5,4.795253753662109
10,634,6,4.427587032318115
10,684,7,4.697783470153809
10,1159,8,4.669033527374268
10,1131,9,4.585294246673584
10,853,10,4.579687118530273
11,189,1,4.855263710021973
11,485,2,4.170639991760254
11,143,3,4.847218036651611
11,1449,4,4.720887660980225
11,172,5,4.581220626831055
11,272,6,4.565352439880371
11,174,7,4.279412746429443
11,958,8,4.447965621948242
11,132,9,4.442390441894531
11,966,10,4.418898582458496
12,963,1,5.335416316986084
12,1,2,5.268036365509033
12,45,3,4.60556697845459
12,483,4,5.101217746734619
12,1523,5,4.3180389404296875
12,506,6,4.609722137451172
12,291,7,4.135731220245361
12,210,8,5.229771137237549
12,60,9,4.892117023468018
12,520,10,4.8334269523620605
13,660,1,4.676496505737305
13,171,2,4.597821235656738
13,136,3,4.458226680755615
13,93,4,3.8651864528656006
13,500,5,4.037747859954834
13,1278,6,4.028425216674805
13,694,7,4.376437664031982
13,1142,8,4.313126564025879
13,479,9,4.234626293182373
13,408,10,4.143553256988525
14,171,1,5.39224100112915
14,55,2,5.392187118530273
14,328,3,5.180544853210449
14,1449,4,5.009116172790527
14,150,5,4.458920001983643
14,223,6,4.911831855773926
14,675,7,4.893890380859375
14,183,8,4.940033912658691
14,177,9,4.891147136688232
14,114,10,4.877512454986572
15,515,1,4.702654838562012
15,648,2,4.676779270172119
15,189,3,4.604997158050537
15,496,4,4.529760837554932
15,530,5,3.8932697772979736
15,427,6,4.508297443389893
15,692,7,4.497365474700928
15,966,8,4.067304611206055
15,199,9,4.282017230987549
15,434,10,4.1601481437683105
16,187,1,4.8472442626953125
16,165,2,5.455711841583252
16,520,3,5.408869743347168
16,205,4,5.240726470947266
16,320,5,4.513237476348877
16,265,6,5.182726860046387
16,177,7,5.158311367034912
16,519,8,4.808356285095215
16,419,9,4.776270389556885
16,853,10,4.869212627410889
17,1159,1,3.8659701347351074
17,318,2,4.843687057495117
17,483,3,4.528936862945557
17,50,4,4.41778564453125
17,174,5,3.998997688293457
17,313,6,4.388627052307129
17,251,7,4.352444171905518
17,168,8,4.5857744216918945
17,480,9,4.249547958374023
17,474,10,3.951235055923462
18,904,1,4.338220119476318
18,344,2,4.9573540687561035
18,644,3,4.331239223480225
18,657,4,4.705619812011719
18,466,5,4.70031213760376
18,966,6,4.101152420043945
18,1194,7,4.636124610900879
18,811,8,4.092731952667236
18,114,9,4.491243362426758
18,1500,10,4.1762590408325195
19,478,1,4.595541954040527
19,169,2,4.549213886260986
19,1449,3,4.537470817565918
19,589,4,4.244665622711182
19,50,5,4.509062767028809
19,48,6,4.473179340362549
19,511,7,4.4563517570495605
19,474,8,4.437225341796875
19,175,9,4.423274040222168
19,315,10,4.330558776855469
20,611,1,4.631542682647705
20,399,2,4.061080455780029
20,654,3,4.4716033935546875
20,746,4,4.388211250305176
20,119,5,4.049060344696045
20,1098,6,4.363992691040039
20,478,7,4.296701431274414
20,10,8,4.292194366455078
20,226,9,4.2874250411987305
20,169,10,4.144879341125488
21,357,1,5.1122145652771
21,187,2,5.110052585601807
21,251,3,3.982597827911377
21,425,4,4.187593936920166
21,203,5,4.8028883934021
21,316,6,4.622265815734863
21,135,7,4.162098407745361
21,182,8,4.5753984451293945
21,1154,9,3.866257429122925
21,276,10,4.588333606719971
22,150,1,5.398861408233643
22,389,2,3.8191215991973877
22,357,3,5.2659525871276855
22,197,4,5.076162815093994
22,408,5,5.05838680267334
22,1101,6,4.537977695465088
22,661,7,5.054078578948975
22,165,8,5.001275539398193
22,484,9,4.966371536254883
22,169,10,4.743705749511719
23,12,1,4.899600982666016
23,210,2,4.300470352172852
23,137,3,4.719560146331787
23,491,4,4.621305465698242
23,119,5,4.297389984130859
23,318,6,4.758254528045654
23,1203,7,4.5858049392700195
23,1137,8,4.267442226409912
23,169,9,4.542334079742432
23,488,10,4.514542102813721
24,603,1,5.160995960235596
24,177,2,4.665109634399414
24,663,3,5.097956657409668
24,170,4,4.5600152015686035
24,496,5,5.023154258728027
24,513,6,5.0036211013793945
24,114,7,4.45026969909668
24,192,8,4.9830403327941895
24,57,9,4.928916931152344
24,89,10,4.908148765563965
25,12,1,4.912093162536621
25,511,2,4.727147102355957
25,172,3,4.713169574737549
25,1194,4,4.387932300567627
25,223,5,4.658989429473877
25,1367,6,4.3811540603637695
25,484,7,4.256608963012695
25,166,8,4.564016819000244
25,1269,9,4.473228454589844
25,613,10,4.468689918518066
26,603,1,4.158067226409912
26,22,2,4.144412040710449
26,530,3,3.8052737712860107
26,12,4,4.080214977264404
26,50,5,4.070588111877441
26,132,6,3.81087327003479
26,963,7,4.033953666687012
26,480,8,4.023869514465332
26,511,9,4.022136211395264
26,64,10,4.003236293792725
27,525,1,3.9330570697784424
27,633,2,3.834460973739624
27,419,3,3.928738832473755
27,272,4,4.22258996963501
27,318,5,4.265841960906982
27,513,6,4.150087356567383
27,408,7,4.2473320960998535
27,116,8,4.113984107971191
27,479,9,4.1109089851379395
27,12,10,3.9534027576446533
28,156,1,4.600070476531982
28,178,2,4.577447891235352
28,302,3,4.573295593261719
28,132,4,4.568347930908203
28,137,5,4.50535249710083
28,210,6,4.480661392211914
28,172,7,4.471423625946045
28,223,8,4.467250347137451
28,613,9,4.118427753448486
28,320,10,4.232250213623047
29,483,1,4.856789588928223
29,11,2,4.837182998657227
29,529,3,4.497763633728027
29,33,4,4.821232795715332
29,171,5,4.491992473602295
29,56,6,4.782363414764404
29,657,7,4.5443644523620605
29,114,8,4.777433395385742
29,463,9,4.335508346557617
29,511,10,4.741401195526123
30,697,1,4.467391014099121
30,513,2,5.065415382385254
30,657,3,4.458510875701904
30,318,4,5.09431791305542
30,1,5,4.903681755065918
30,470,6,4.231420516967773
30,191,7,4.847083568572998
30,709,8,4.741061687469482
30,100,9,4.654693603515625
30,313,10,4.468480110168457
31,173,1,4.881058692932129
31,168,2,4.8059611320495605
31,199,3,4.606547832489014
31,64,4,4.596343994140625
31,183,5,4.275545597076416
31,813,6,4.2974982261657715
31,493,7,4.48536491394043
31,530,8,4.41063117980957
31,479,9,4.33528995513916
31,174,10,4.330301284790039
32,661,1,4.129271507263184
32,603,2,4.686890125274658
32,127,3,4.449703693389893
32,673,4,3.9805521965026855
32,709,5,3.9866998195648193
32,178,6,4.375984191894531
32,694,7,3.8786349296569824
32,419,8,4.317065238952637
32,12,9,4.398297309875488
32,143,10,4.264708042144775
33,318,1,4.742278575897217
33,98,2,4.729171276092529
33,56,3,4.703404426574707
33,316,4,4.624353408813477
33,174,5,4.61885404586792
33,50,6,4.603794097900391
33,515,7,4.500450134277344
33,1449,8,4.482780933380127
33,615,9,4.270545959472656
33,71,10,4.086080551147461
34,479,1,5.115836143493652
34,515,2,4.636265754699707
34,641,3,5.03101921081543
34,492,4,4.914757251739502
34,514,5,4.628344535827637
34,603,6,4.868941783905029
34,480,7,4.613607883453369
34,519,8,4.30067777633667
34,510,9,4.836127281188965
34,134,10,4.662320613861084
35,483,1,4.921998977661133
35,12,2,4.915373802185059
35,64,3,4.640641212463379
35,936,4,4.527656555175781
35,963,5,4.497280120849609
35,487,6,4.451133728027344
35,71,7,4.402316570281982
35,60,8,4.361781120300293
35,174,9,4.344501972198486
35,89,10,3.9580678939819336
36,922,1,4.165149688720703
36,12,2,4.744025230407715
36,174,3,4.743870258331299
36,887,4,4.31464958190918
36,98,5,4.853893280029297
36,204,6,4.411519527435303
36,132,7,4.651586055755615
36,318,8,4.694840908050537
36,408,9,4.620233535766602
36,603,10,4.613390922546387
37,169,1,5.313345909118652
37,187,2,4.611345291137695
37,318,3,5.027406692504883
37,525,4,4.33199405670166
37,191,5,4.917537689208984
37,1142,6,4.836518287658691
37,606,7,4.586431503295898
37,8,8,4.810053825378418
37,12,9,4.723578929901123
37,181,10,4.684078216552734
38,753,1,5.826146125793457
38,143,2,5.6591997146606445
38,306,3,5.542407512664795
38,333,4,5.352163791656494
38,242,5,5.343660354614258
38,54,6,4.9322967529296875
38,228,7,5.078166961669922
38,434,8,5.021439075469971
38,895,9,4.591955184936523
38,685,10,4.966549396514893
39,98,1,4.618914604187012
39,589,2,3.7779757976531982
39,482,3,4.348241806030273
39,12,4,4.200517654418945
39,483,5,4.193102836608887
39,1159,6,4.034519195556641
39,1007,7,4.172909736633301
39,657,8,4.189095497131348
39,50,9,4.154304504394531
39,173,10,4.071604251861572
40,432,1,4.601117134094238
40,98,2,4.441887855529785
40,513,3,4.003747940063477
40,966,4,3.9918510913848877
40,524,5,4.262029647827148
40,381,6,3.9986798763275146
40,50,7,4.211885929107666
40,1142,8,4.210647106170654
40,868,9,4.175451278686523
40,174,10,4.131777763366699
41,114,1,4.783626556396484
41,1194,2,4.066532135009766
41,645,3,4.225564002990723
41,483,4,4.703886985778809
41,172,5,4.625323295593262
41,89,6,4.705798149108887
41,169,7,4.657564163208008
41,489,8,4.217650413513184
41,408,9,4.5210137367248535
41,694,10,4.509803771972656
42,177,1,4.075848579406738
42,520,2,5.141758441925049
42,313,3,5.126532554626465
42,22,4,5.624142646789551
42,495,5,4.072463512420654
42,326,6,4.385046005249023
42,328,7,5.087735176086426
42,193,8,4.859407901763916
42,1039,9,4.71761417388916
42,478,10,4.554865837097168
43,125,1,5.160981178283691
43,515,2,5.151045322418213
43,1233,3,4.509477138519287
43,477,4,5.11406135559082
43,45,5,5.132637023925781
