question,n,fitness_type,pop_size,max_generations,Pc,Pm,best_run_index,chromosome,total_weight,total_value,best_fitness
base_n10,10,simple,100,400,0.8,0.2,0,1111111101,22.0,39.0,39.0
base_n10,10,full,100,400,0.8,0.2,0,1111111111,24.0,42.0,483840.0
base_n10,10,stupid,100,400,0.8,0.2,0,1111111101,22.0,39.0,16127961.0
p_problem_size,10,simple,100,400,0.8,0.2,0,1111111101,22.0,39.0,39.0
p_problem_size,10,full,100,400,0.8,0.2,0,1111111111,24.0,42.0,483840.0
p_problem_size,10,stupid,100,400,0.8,0.2,0,1111111101,22.0,39.0,16127961.0
p_problem_size,20,simple,100,400,0.8,0.2,0,1101111111 1110001101,39.0,85.0,85.0
p_problem_size,20,full,100,400,0.8,0.2,0,1111111111 1111111111,57.0,109.0,119859786547200.0
p_problem_size,20,stupid,100,400,0.8,0.2,0,1111011110 1110011111,39.0,81.0,20808990719919.0
p_problem_size,60,simple,100,400,0.8,0.2,4,1111111111 1110010110 1010111111 1100111101 0110111101 1111110110,129.0,256.0,256.0
p_problem_size,60,full,100,400,0.8,0.2,0,1011111111 1111111110 1111111111 1111111110 1111111111 1111111111,181.0,325.0,5.282833234576835e+41
p_problem_size,60,stupid,100,400,0.8,0.2,2,0111010111 1111011111 1001111110 1110111101 0110111111 1010110111,128.0,258.0,7.219615389818926e+36
p_problem_size,100,simple,100,400,0.8,0.2,2,1111101111 1011111011 1001110110 1100111001 1001001101 1111101100 1010110111 1101111011 1110111111 1110110110,213.0,414.0,414.0
p_problem_size,100,full,100,400,0.8,0.2,2,1111111111 1111111111 1101110101 1111111111 1111111101 1111011101 1101111111 0101101111 1111111111 1111111101,272.0,497.0,4.6573291179695404e+64
p_problem_size,100,stupid,100,400,0.8,0.2,1,0011111101 1111111011 1111110100 1111101001 0011111001 1100110111 0111111101 1110110111 1110111001 1110110111,213.0,413.0,9.903048243445314e+57
t_generations,10,simple,100,50,0.8,0.2,0,1111111101,22.0,39.0,39.0
t_generations,10,full,100,50,0.8,0.2,0,1111111111,24.0,42.0,483840.0
t_generations,10,stupid,100,50,0.8,0.2,0,1111111101,22.0,39.0,16127961.0
t_generations,10,simple,100,100,0.8,0.2,0,1111111101,22.0,39.0,39.0
t_generations,10,full,100,100,0.8,0.2,0,1111111111,24.0,42.0,483840.0
t_generations,10,stupid,100,100,0.8,0.2,0,1111111101,22.0,39.0,16127961.0
t_generations,10,simple,100,200,0.8,0.2,0,1111111101,22.0,39.0,39.0
t_generations,10,full,100,200,0.8,0.2,0,1111111111,24.0,42.0,483840.0
t_generations,10,stupid,100,200,0.8,0.2,0,1111111101,22.0,39.0,16127961.0
t_generations,10,simple,100,300,0.8,0.2,0,1111111101,22.0,39.0,39.0
t_generations,10,full,100,300,0.8,0.2,0,1111111111,24.0,42.0,483840.0
t_generations,10,stupid,100,300,0.8,0.2,0,1111111101,22.0,39.0,16127961.0
t_generations,20,simple,100,50,0.8,0.2,2,1100111111 0111001101,39.0,85.0,85.0
t_generations,20,full,100,50,0.8,0.2,0,1111111111 1111111111,57.0,109.0,119859786547200.0
t_generations,20,stupid,100,50,0.8,0.2,1,1111011110 1110011111,39.0,81.0,20808990719919.0
t_generations,20,simple,100,100,0.8,0.2,0,1101111111 1110001101,39.0,85.0,85.0
t_generations,20,full,100,100,0.8,0.2,0,1111111111 1111111111,57.0,109.0,119859786547200.0
t_generations,20,stupid,100,100,0.8,0.2,0,1111011110 1110011111,39.0,81.0,20808990719919.0
t_generations,20,simple,100,200,0.8,0.2,0,1101111111 1110001101,39.0,85.0,85.0
t_generations,20,full,100,200,0.8,0.2,0,1111111111 1111111111,57.0,109.0,119859786547200.0
t_generations,20,stupid,100,200,0.8,0.2,0,1111011110 1110011111,39.0,81.0,20808990719919.0
t_generations,20,simple,100,300,0.8,0.2,0,1101111111 1110001101,39.0,85.0,85.0
t_generations,20,full,100,300,0.8,0.2,0,1111111111 1111111111,57.0,109.0,119859786547200.0
t_generations,20,stupid,100,300,0.8,0.2,0,1111011110 1110011111,39.0,81.0,20808990719919.0
t_generations,60,simple,100,50,0.8,0.2,1,0110011011 0111110100 1101111011 1110111111 1100011110 1111010101,130.0,250.0,250.0
t_generations,60,full,100,50,0.8,0.2,5,1111111101 1111111011 1111011111 1111111011 1011111111 1111111101,176.0,313.0,1.0318033661282882e+40
t_generations,60,stupid,100,50,0.8,0.2,5,1110010110 1110011101 1001111011 1110111101 1111111111 1100110111,129.0,252.0,1.7905792137447728e+36
t_generations,60,simple,100,100,0.8,0.2,0,1111010111 1101011111 1111110110 1111110111 0100111100 1110100101,130.0,252.0,252.0
t_generations,60,full,100,100,0.8,0.2,0,1011111111 1111111110 1111111111 1111111110 1111111111 1111111111,181.0,325.0,5.282833234576835e+41
t_generations,60,stupid,100,100,0.8,0.2,2,0111010111 1111011111 1001111110 1110111101 0110111111 1010110111,128.0,258.0,7.219615389818926e+36
t_generations,60,simple,100,200,0.8,0.2,1,0110110111 1111110110 1001111111 1111111101 0010111100 1001111101,130.0,254.0,254.0
t_generations,60,full,100,200,0.8,0.2,0,1011111111 1111111110 1111111111 1111111110 1111111111 1111111111,181.0,325.0,5.282833234576835e+41
t_generations,60,stupid,100,200,0.8,0.2,2,0111010111 1111011111 1001111110 1110111101 0110111111 1010110111,128.0,258.0,7.219615389818926e+36
t_generations,60,simple,100,300,0.8,0.2,4,1110110111 1110111110 1110011101 1110110111 0110111111 1100110111,130.0,255.0,255.0
t_generations,60,full,100,300,0.8,0.2,0,1011111111 1111111110 1111111111 1111111110 1111111111 1111111111,181.0,325.0,5.282833234576835e+41
t_generations,60,stupid,100,300,0.8,0.2,2,0111010111 1111011111 1001111110 1110111101 0110111111 1010110111,128.0,258.0,7.219615389818926e+36
t_generations,100,simple,100,50,0.8,0.2,1,1110100000 0011111111 1111111111 0111101001 1101011011 1110111111 1101111011 1100100111 1110110100 0110110110,213.0,407.0,407.0
t_generations,100,full,100,50,0.8,0.2,5,1101011101 1110111101 1101101111 1011111110 1110111101 0111110111 1111111111 1111011010 1111011111 1111111101,259.0,464.0,2.020568303992061e+60
t_generations,100,stupid,100,50,0.8,0.2,4,1111111111 0111111111 1111011101 1100111010 0001010110 1100101001 1101111111 1110111111 1111101001 0111111010,213.0,410.0,1.9013852627415015e+57
t_generations,100,simple,100,100,0.8,0.2,1,1011110101 1111110101 1111110110 1101000110 0011110101 1100101101 1111110111 1100010111 1111111101 0111111111,213.0,410.0,410.0
t_generations,100,full,100,100,0.8,0.2,2,1111111111 1101101111 1101110110 1111111110 1111111101 1111111111 1111111101 1100101101 1110111111 0011110111,259.0,475.0,3.593618146581438e+61
t_generations,100,stupid,100,100,0.8,0.2,5,1110110111 1111110011 1111111010 1111101001 0111010111 1001100101 1101111110 1101011111 1111101011 1000111111,211.0,412.0,3.509392721270936e+57
t_generations,100,simple,100,200,0.8,0.2,5,1011011001 1011101111 1011011100 1111111110 1011111101 1100101101 1110111100 1101011111 0011111101 0110110111,212.0,412.0,412.0
t_generations,100,full,100,200,0.8,0.2,2,1111111111 1111111111 1101110101 1111111111 1111111101 1111011101 1101111111 0101101111 1111111111 1111111101,272.0,497.0,4.6573291179695404e+64
t_generations,100,stupid,100,200,0.8,0.2,0,0111110011 1111111111 0100011010 1011111011 0011111111 1110001111 1101111111 1101111111 1011110001 0110111110,213.0,412.0,6.93213377041172e+57
t_generations,100,simple,100,300,0.8,0.2,5,1011011001 1011101111 1011011100 1111111110 1011111101 1100101101 1110111100 1101011111 0011111101 0110110111,212.0,412.0,412.0
