label,description,selection,n,k,pop_size,max_generations,Pc,Pm,best_run_index,best_fitness,assignment,group_sums
a_base_n10,"Q2-a/b base: n=10, k=5, pop=100, gens=400, Pc=0.8, Pm=0.2",roulette,10,5,100,400,0.8,0.2,0,0.25,1 4 1 5 3 1 5 3 4 2,g1: 10; g2: 10; g3: 13; g4: 11; g5: 11
p_problem_size_n10,Q2-p: effect of problem size n=10,roulette,10,5,100,400,0.8,0.2,0,0.25,1 4 1 5 3 1 5 3 4 2,g1: 10; g2: 10; g3: 13; g4: 11; g5: 11
p_problem_size_n20,Q2-p: effect of problem size n=20,roulette,20,8,100,400,0.8,0.2,1,0.14285714285714285,6 5 7 1 3 5 4 7 4 8 | 6 4 2 6 5 2 8 7 1 3,g1: 23; g2: 29; g3: 25; g4: 28; g5: 23; g6: 26; g7: 29; g8: 27
p_problem_size_n40,Q2-p: effect of problem size n=40,roulette,40,12,100,400,0.8,0.2,0,0.0,6 1 4 12 4 8 10 4 6 3 | 5 8 7 9 9 11 2 7 8 8 | 9 2 6 10 9 10 5 4 1 4 | 6 1 3 4 9 2 4 4 4 8,g1: 63; g2: 75; g3: 43; g4: 222; g5: 38; g6: 64; g7: 31; g8: 97; g9: 110; g10: 57; g11: 16; g12: 4
p_problem_size_n60,Q2-p: effect of problem size n=60,roulette,60,17,100,400,0.8,0.2,0,0.0,13 16 1 4 4 8 10 5 7 13 | 2 7 8 15 6 14 9 10 17 6 | 16 16 1 4 15 8 1 2 10 1 | 11 4 12 3 1 1 5 6 7 9 | 16 5 10 11 2 2 8 10 4 7 | 12 15 1 15 4 13 11 12 5 7,g1: 207; g2: 130; g3: 34; g4: 169; g5: 146; g6: 73; g7: 170; g8: 92; g9: 57; g10: 145; g11: 132; g12: 142; g13: 67; g14: 16; g15: 145; g16: 86; g17: 19
t_generations_n10_g50,"Q2-t: effect of generations n=10, gens=50",roulette,10,5,100,50,0.8,0.2,0,0.25,1 4 1 5 3 1 5 3 4 2,g1: 10; g2: 10; g3: 13; g4: 11; g5: 11
t_generations_n10_g100,"Q2-t: effect of generations n=10, gens=100",roulette,10,5,100,100,0.8,0.2,0,0.25,1 4 1 5 3 1 5 3 4 2,g1: 10; g2: 10; g3: 13; g4: 11; g5: 11
t_generations_n10_g200,"Q2-t: effect of generations n=10, gens=200",roulette,10,5,100,200,0.8,0.2,0,0.25,1 4 1 5 3 1 5 3 4 2,g1: 10; g2: 10; g3: 13; g4: 11; g5: 11
t_generations_n10_g300,"Q2-t: effect of generations n=10, gens=300",roulette,10,5,100,300,0.8,0.2,0,0.25,1 4 1 5 3 1 5 3 4 2,g1: 10; g2: 10; g3: 13; g4: 11; g5: 11
t_generations_n20_g50,"Q2-t: effect of generations n=20, gens=50",roulette,20,8,100,50,0.8,0.2,2,0.07142857142857142,6 2 8 7 6 3 1 2 5 7 | 5 4 7 5 2 6 3 8 4 1,g1: 27; g2: 25; g3: 23; g4: 31; g5: 34; g6: 22; g7: 27; g8: 21
t_generations_n20_g100,"Q2-t: effect of generations n=20, gens=100",roulette,20,8,100,100,0.8,0.2,1,0.125,7 4 6 1 3 6 5 6 3 8 | 7 6 2 7 3 2 8 5 1 4,g1: 23; g2: 29; g3: 29; g4: 22; g5: 25; g6: 29; g7: 26; g8: 27
t_generations_n20_g200,"Q2-t: effect of generations n=20, gens=200",roulette,20,8,100,200,0.8,0.2,1,0.14285714285714285,6 5 7 1 3 5 4 7 4 8 | 6 4 2 6 5 2 8 7 1 3,g1: 23; g2: 29; g3: 25; g4: 28; g5: 23; g6: 26; g7: 29; g8: 27
