Week,AAPL,ABT,ACN,ADBE,AMGN,AMZN,BAC,BMY,CMCSA,COST,CSCO,CVX,DIS,GE,GOOGL,HD,HON,IBM,INTC,JNJ,JPM,KO,LIN,MA,MCD,MDT,META,MMM,MRK,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,QCOM,SBUX,T,TMUS,TSLA,TXN,UNH,UPS,V,VZ,WMT,XOM,Rf
1/4/2021,-0.01535303,-0.011320652,-0.031154887,-0.030288445,0.032646797,-0.010970331,0.034388335,0.058691335,-0.016841677,-0.015139092,0.012370594,0.058412613,-0.028838778,0.034605261,-0.024470975,0.00781202,-0.018813841,-0.000155235,0.135275082,0.001745918,0.046490689,-0.01461169,-0.025967851,-0.064356158,-0.016416626,-0.007834856,-0.085956794,-0.019502805,-0.022018421,-0.024142192,0.040862699,-0.015779499,-0.025181283,-0.010772527,-0.019569917,-0.004983308,-0.008364952,-0.021966274,0.033076336,-0.014803828,-0.020728832,-0.063818732,0.035488408,0.022448543,-0.03972283,0.028113121,-0.055890862,-0.0150242,0.002182209,0.118994561,1.54E-05
1/11/2021,0.061748025,0.03057988,0.014985857,0.018887474,0.042911454,0.057401015,-0.065313384,-0.027870421,-0.009076274,0.001241633,-0.000886207,-0.036443457,-0.012396847,-0.050600346,0.088525051,0.039912077,-0.016202474,0.02077992,0.054177273,0.006722488,-0.044910597,-0.005687735,-0.039781742,0.022971413,0.024124834,0.00118877,0.110853452,0.025599717,-0.012048118,0.056097939,0.014297936,0.157688863,0.002193937,0.050548274,-0.006331153,-0.015166516,-0.007346847,-0.035272355,0.024246474,0.027106425,0.00748553,0.045793488,-1.18E-05,0.019742362,0.012752179,-0.020615264,0.016248998,0.004032263,-0.014424864,-0.043728774,1.44E-05
1/18/2021,0.00160792,0.065870062,-0.033340972,-0.013452768,-0.016981915,-0.020976815,-0.045640543,-0.029448363,0.050274935,-0.015821169,0.005098749,-0.032496675,0.003503052,0.001806441,-0.016426464,-0.003583567,-0.01164548,-0.087884482,-0.102305414,0.045941053,-0.03500687,0.004085727,-0.014454801,-0.030379088,-0.031424428,-0.026630408,-0.028841671,0.074705658,-0.040157943,0.062052773,-0.014932455,-0.071123154,-0.048654821,-0.058878677,0.000163273,-0.003008401,-0.016995562,0.001040423,-0.055842177,-0.061483778,-0.001040327,-0.020168692,-0.011313777,-0.033523469,-0.047464818,-0.017676347,-0.03373306,-0.033176344,-0.007593821,-0.042610474,1.40E-05
1/25/2021,0.00218836,-0.005399131,0.01471873,0.050915865,-0.042502645,0.028842214,0.071899683,-0.011719249,-0.002907015,-0.003388681,0.042126081,-0.000224747,0.048580448,0.032461741,0.108153599,0.002769276,-0.011092572,0.007828156,0.048510736,-0.042385862,0.062562335,-0.002848273,-0.001442736,0.051036003,0.020356149,0.019430123,0.005622853,-0.034456525,-0.024255561,0.012890708,0.006548583,0.02517638,0.043868877,0.04698876,0.034792549,0.003520275,-0.016465198,-0.010202691,-0.048730549,0.055934548,0.00312489,0.022149255,0.017428149,0.016368003,-0.026112575,0.031728598,0.055645381,-0.004153696,-0.008487234,0.049283422,1.06E-05
2/1/2021,-0.016449826,0.059295043,0.02355652,0.014794209,-0.009189826,-0.020675453,0.011692457,-0.025503676,0.034596608,-0.008302916,0.006984036,0.033932822,0.059257653,0.000873654,0.017101436,-0.006312345,0.007926687,-0.000908801,0.038071143,0.025124944,0.007378059,0.026321185,0.015771695,0.005985586,0.015353227,0.014700873,0.01463467,0.000621017,-0.016966802,0.010247629,0.011445666,0.009834204,0.02069266,0.116105746,-0.010260326,-0.033719931,-0.013184392,-0.005424986,-0.016287204,0.021420438,-0.006922681,-0.047473254,-0.045094563,0.04829512,0.011387136,0.000677771,0.006738161,-0.009793462,0.010454142,0.031243469,5.77E-06
2/8/2021,-0.038674776,-0.011273966,-0.005174492,-0.016612299,-0.00332287,0.020262789,0.039841783,0.017169678,-0.012586821,0.013401374,-0.02606105,0.03238403,-0.041433172,0.014834042,0.008167522,0.021619806,0.006627768,0.011854146,0.015661053,-0.001926996,0.045379312,0.009343761,-0.012563681,-0.012862144,0.005413566,-0.02804916,-0.003698335,0.020530279,0.008964181,-0.002863202,-0.038355734,-0.016804562,0.010798382,-0.027654172,-0.010047971,0.002963499,0.003776014,0.009350827,-0.011335231,-0.008407293,0.018821769,-0.010932398,-0.029914076,-0.015121047,-0.01399109,-0.001539366,-0.004675601,0.043589912,-0.044160828,0.06146513,6.73E-06
2/15/2021,-0.067226957,-0.030539927,-0.014943944,-0.059811192,-0.021545601,-0.081445678,0.050892036,0.017698879,-0.006088483,-0.064496288,-0.017695405,0.092597597,0.043606487,0.097162497,-0.042672447,-0.098215763,0.006240177,0.014412346,-0.019639656,-0.017979807,0.038395559,-0.011817701,-0.011723128,0.0475982,-0.020795636,0.021578887,-0.054567854,-0.003400979,-0.010476117,-0.058544541,-0.082621231,-0.002772534,-0.065821465,-0.102603125,0.052037937,-0.039668916,-0.021412282,-0.022774509,-0.058231136,-0.010093304,-0.020526767,-0.017473985,-0.133556849,-0.033878983,0.001400486,-0.02843592,0.021017452,-0.008424089,-0.04147903,0.071895356,4.42E-06
2/22/2021,-0.007107936,-0.045813417,-0.026715991,-0.043775603,-0.024657183,-0.026034015,0.015864263,-0.044444389,0.032350787,-0.04450433,-0.021089625,0.021006424,-0.015446638,0.063479568,0.00891898,-0.016924575,-0.004647193,-0.019270109,-0.034271508,-0.053671335,-0.004101151,-0.004584464,-0.006396871,-0.01429933,-0.028964036,-0.022141058,0.011582728,-0.006321623,-0.032832955,-0.009869656,-0.032351458,-0.064770446,-0.02582252,-0.07043025,0.004747302,-0.008999901,0.011236096,-0.0349977,-0.057035227,0.013723669,0.010129053,-0.018860219,-0.089091473,-0.042690604,0.01502119,0.018725853,-0.010526487,-0.030088584,-0.033497674,0.052905316,6.35E-06
3/1/2021,0.015233307,0.013016117,0.07842115,0.027331117,0.041728623,0.045681616,0.025341764,0.017020558,0.054885978,0.030121682,0.095152666,0.064019302,0.046375643,-0.095799531,0.032749321,0.071414601,0.047107422,0.058529702,0.085376233,0.039655407,0.024973463,0.018822672,0.094123095,0.099799781,0.039209783,0.02455101,0.063033587,0.039070237,0.034086214,0.045869763,0.050076868,0.023020182,0.071471276,0.050383086,0.027434921,0.042332586,0.014912234,0.038968578,0.035742181,0.023167346,0.02143863,0.062220786,0.12577238,0.071669101,0.0577872,0.048855893,0.069267262,0.012956296,0.036070064,0.044285326,5.38E-06
3/8/2021,-0.011725112,0.005020442,0.001952139,-0.02633797,0.057317204,-0.027492372,0.045649542,0.032808769,-0.017929486,-0.017252169,0,-0.06358505,-0.022719236,0.080665732,-0.037704537,0.059826345,0.011858778,0.022966832,0.006633971,0.008357176,0.021578502,-0.006093031,0.001982476,-0.045215505,0.053552047,0.006181131,0.017306662,0.034837457,0.035374713,-0.027031682,-0.049826159,-0.03492905,0.014023736,-0.020518543,-0.009939115,-0.005179246,0.030538848,0.01410432,-0.015105395,0.002795246,0.01591059,-0.008572088,-0.066380772,-0.003372142,0.025347046,-0.042095299,-0.024275804,0.014411957,-0.016044516,-0.073397301,5.38E-06
